source_term,canonical_zh_cn,status,source_kinds,matched_terms,occurrences
3. 3D Object Browser（右側下部）,3. 3D Object Browser（右側下部）,constrained,heading,Browser|Object,docs/basics/md-interface.md:71
3. Bone Weight / Mesh 最適化問題,3. Bone Weight / Mesh 优化问题,composed,bold,Bone|問題|最適化,docs/workflows/common-issues.md:232
3. Performance Optimization（パフォーマンス最適化）,3. Performance Optimization（性能优化）,composed,bold,Optimization|パフォーマンス|最適化,docs/advanced/everywear-integration.md:69
3. Unity Profiler - プロ級分析ツール,3. Unity Profiler - プロ級分析工具,composed,heading,Unity|ツール,docs/optimization/performance-analysis.md:94
3. VRChatコミュニティへの参加,3. VRChatコミュニティへの参加,constrained,bold,VRChat,docs/unity/avatar-upload.md:348
3. VRChat展開段階,3. VRChat展開阶段,composed,bold,VRChat|段階,docs/unity/project-setup.md:36
3. アバター（Avatar）,3. 头像（Avatar）,composed,bold,アバター,docs/setup/md-first-launch.md:196
3. インストール破損,3. インストール破損,untranslated,bold,,docs/workflows/common-issues.md:60
3. コミュニティ活動への参加,3. コミュニティ活動への参加,untranslated,bold,,docs/garments/swimwear.md:676
3. システム要件再確認,3. 系统要求再确认,composed,bold,システム要件|確認,docs/advanced/md2025-features.md:366
3. テクスチャリング段階,3. テクスチャリング阶段,composed,bold,段階,docs/basics/basic-concepts.md:193
3. 基本シミュレーションテスト,3. 基本模拟テスト,composed,bold,シミュレーション,docs/physics/fabric-properties.md:162
3. 応用範囲が広い,3. 应用範囲が広い,composed,bold,応用,docs/garments/t-shirt.md:43
3. 手動配置点設定（回避策）,3. 手动配置点设置（回避策）,composed,bold,手動|設定,docs/workflows/common-issues.md:130
3. 物理設定を深く学ぶ,3. 物理设置を深入学习,composed,bold,学ぶ|深く|物理設定,docs/garments/t-shirt.md:368
3. 確認段階,3. 确认阶段,composed,bold,段階|確認,docs/unity/avatar-upload.md:39
3. 複雑な立体構造,3. 复杂な立体结构,composed,bold,構造|複雑,docs/garments/swimwear.md:62
3. 高度UV展開ツール,3. 高级UV 展开工具,composed,heading,UV展開|ツール|高度,docs/advanced/md2025-features.md:79
3D Garment Window の役割,3D Garment Window の役割,constrained,admonition,Garment|Window,docs/basics/md-interface.md:48
3D Garment Window」,3D Garment Window」,constrained,bold,Garment|Window,docs/setup/md-first-launch.md:89
3D Garment」,3D Garment」,constrained,bold,Garment,docs/basics/md-interface.md:448|docs/workflows/avatar-modification.md:453|docs/workflows/garment-fitting.md:140
3D Garment（3D衣装）メニュー,3D Garment（3D服装）菜单,composed,heading,Garment|メニュー|衣装,docs/basics/md-interface.md:193
3D Graphics」,3D Graphics」,untranslated,bold,,docs/basics/md-interface.md:439|docs/setup/md-first-launch.md:69
3D Object Browser,3D Object Browser,constrained,bold,Browser|Object,docs/workflows/avatar-import.md:90
3DCG・モデリング書,3DCG・建模書,composed,bold,モデリング,docs/resources/useful-links.md:206
3DS,3DS,untranslated,term_def|bold,,docs/basics/terminology.md:286|docs/basics/terminology.md:286
3Dガーメント,3DGarment,composed,term_def|bold,ガーメント,docs/resources/clo-set-connect.md:19|docs/resources/clo-set-connect.md:19
3Dビューポート,3D视口,composed,term_def|bold,ビューポート,docs/basics/md-interface.md:319|docs/basics/md-interface.md:319
3Dビューポートの操作方法,3D视口の操作方法,composed,bold,ビューポート,docs/setup/md-first-launch.md:104
3Dビューポートの練習,3D视口の练习,composed,bold,ビューポート|練習,docs/basics/md-interface.md:351
3Dビューポート（右側）,3D视口（右側）,composed,bold,ビューポート,docs/setup/md-first-launch.md:86
3Dファイル形式 ★★★,3D文件格式 ★★★,composed,heading,ファイル形式,docs/basics/terminology.md:281
3Dモデリング,3D建模,composed,bold,モデリング,docs/basics/basic-concepts.md:26
3Dモデリングとは？,3D建模とは？,composed,heading,モデリング,docs/basics/basic-concepts.md:22
3Dモデリングの基本原理,3D建模の基本原理,composed,bold,モデリング,docs/basics/basic-concepts.md:9
3Dモデリングの基礎,3D建模の基础,composed,admonition,モデリング|基礎,docs/basics/basic-concepts.md:24
3Dモデリング基本概念,3D建模基础概念,composed,heading|link_text,モデリング|基本概念,docs/basics/basic-concepts.md:1|docs/basics/workflow-overview.md:16
3Dモデリング基本概念を学ぶ →,3D建模基础概念を学习 →,composed,link_text,モデリング|基本概念|学ぶ,docs/basics/md-interface.md:461|docs/workflows/avatar-import.md:196
3Dモデリング基本概念完了！,3D建模基础概念完成！,composed,admonition,モデリング|基本概念|完了,docs/basics/basic-concepts.md:275
3Dモデリング基礎用語,3D建模基础用語,composed,heading|link_text,モデリング|基礎,docs/basics/terminology.md:163|docs/basics/terminology.md:17
3Dモデル・ベースアバター,3Dモデル・ベース头像,composed,bold,アバター,docs/resources/useful-links.md:141
3D形状での調整,3D形状での调整,composed,bold,調整,docs/garments/casual-wear.md:97
3D衣装制作の基本概念,3D服装制作の基础概念,composed,heading,制作|基本概念|衣装,docs/basics/basic-concepts.md:20
3D表示と制御,3D显示と控制,composed,admonition,制御|表示,docs/basics/md-interface.md:194
3」,3」,untranslated,bold,,docs/basics/md-interface.md:65|docs/workflows/avatar-import.md:144|docs/workflows/avatar-import.md:161
3ヶ月ぶりにイベントに参加できました！」,3ヶ月ぶりにイベントに参加できました！」,untranslated,admonition,,docs/optimization/very-poor-escape.md:442
3層レイヤードの例,3層レイヤードの例,untranslated,bold,,docs/garments/casual-wear.md:264
3層構成の例,3層構成の例,untranslated,bold,,docs/garments/skirt.md:184
3年後のビジョン（2028年）,3年後のビジョン（2028年）,untranslated,heading,,docs/resources/update-log.md:374
3段階のカジュアルウェア制作,3阶段のカジュアルウェア制作,composed,admonition,制作|段階,docs/garments/casual-wear.md:27
3段階のスカート制作,3阶段のスカート制作,composed,admonition,制作|段階,docs/garments/skirt.md:25
4. Export Pipeline（出力パイプライン）,4. Export Pipeline（出力パイプライン）,constrained,bold,Export,docs/advanced/everywear-integration.md:77
4. MD → Unity パイプライン最適化,4. MD → Unity パイプライン优化,composed,bold,Unity|最適化,docs/workflows/common-issues.md:244
4. VRChat特有の課題,4. VRChat特有の課題,constrained,bold,VRChat,docs/garments/swimwear.md:67
4. キーフレームアニメーション,4. 关键帧アニメーション,composed,heading,キーフレーム,docs/advanced/md2025-features.md:96
4. ツールバー（上部）,4. 工具バー（上部）,composed,heading,ツール,docs/basics/md-interface.md:90
4. プロフェッショナル展開,4. プロフェッショナル展開,untranslated,bold,,docs/unity/avatar-upload.md:353
4. 商業制作への発展,4. 商業制作への発展,constrained,bold,制作,docs/garments/swimwear.md:680
4. 物理設定段階,4. 物理设置阶段,composed,bold,段階|物理設定,docs/basics/basic-concepts.md:198
40%以上がQuest/Picoユーザー,40%以上がQuest/Picoユーザー,constrained,bold,Quest,docs/optimization/mobile-compatibility.md:6
4」,4」,untranslated,bold,,docs/basics/md-interface.md:66|docs/workflows/avatar-import.md:162
5. IK-Joint連携システム,5. IK-Joint联动システム,composed,heading,IK|連携,docs/advanced/md2025-features.md:113
5. プロパティパネル（右端または下部）,5. 属性面板（右端または下部）,composed,heading,パネル|プロパティ,docs/basics/md-interface.md:115
5. 統合・テスト段階,5. 集成・テスト阶段,composed,bold,段階|統合,docs/basics/basic-concepts.md:203
5つの主要エリア,5つの主要エリア,untranslated,bold,,docs/basics/md-interface.md:23
5つの主要段階,5つの主要阶段,composed,heading|admonition,段階,docs/basics/workflow-overview.md:22|docs/unity/fbx-to-vrchat-complete-guide.md:26
5ポケットシステムの実装,5ポケットシステムの実装,untranslated,bold,,docs/garments/casual-wear.md:219
5ポケット構造,5ポケット结构,composed,bold,構造,docs/garments/casual-wear.md:177
8個制限への戦略的対応,8個限制への戦略的适配,composed,admonition,制限|対応,docs/optimization/mobile-compatibility.md:197
A-Pose,A-Pose,untranslated,bold,,docs/workflows/avatar-import.md:108
A-ポーズの利点,A-ポーズの利点,untranslated,bold,,docs/workflows/modular-garments.md:64
AI Assist - 創作支援の革命,AI Assist - 創作支援の革命,untranslated,admonition,,docs/advanced/md2025-features.md:54
AI Optimization Settings,AI Optimization Settings,constrained,bold,Optimization|Settings,docs/advanced/everywear-integration.md:278
AI Pattern Generation,AI Pattern Generation,constrained,bold,Pattern,docs/advanced/md2025-features.md:58|docs/advanced/md2025-features.md:445
AI Pattern Generationの結果が期待と違う」,AI Pattern Generationの結果が期待と違う」,constrained,admonition,Pattern,docs/advanced/md2025-features.md:375
AI Pattern Generation活用（所要時間: 2時間）,AI Pattern Generation活用（预计耗时: 2時間）,composed,admonition,Pattern|所要時間|活用,docs/advanced/md2025-features.md:190
AI Pattern Generation設定,AI Pattern Generation设置,composed,bold,Pattern|設定,docs/advanced/md2025-features.md:240
AI Simulation Optimization,AI Simulation Optimization,constrained,bold,Optimization|Simulation,docs/advanced/md2025-features.md:72
AI Texture Generation,AI 纹理 Generation,composed,bold,Texture,docs/advanced/md2025-features.md:65
AI Texture Generation設定,AI 纹理 Generation设置,composed,bold,Texture|設定,docs/advanced/md2025-features.md:248
AIがやってくれること,AIがやってくれること,untranslated,bold,,docs/workflows/avatar-modification.md:229
AIグラフィックジェネレーター（ベータ版）,AIグラフィックジェネレーター（ベータ版）,untranslated,heading,,docs/basics/ai-features.md:53
AIテクスチャジェネレーター,AI 纹理生成器,direct,term_def|bold,AIテクスチャジェネレーター,docs/basics/terminology.md:38|docs/basics/terminology.md:38
AIテクスチャジェネレーター（ベータ版）,AI 纹理生成器（ベータ版）,composed,heading,AIテクスチャジェネレーター,docs/basics/ai-features.md:14
AI・機械学習による意思決定支援,AI・機械学習による意思确定支援,composed,admonition,決定,docs/resources/advanced-resources.md:460
AI・機械学習の活用,AI・機械学習の活用,constrained,heading,活用,docs/resources/advanced-resources.md:24
AI技術の衣装制作への応用,AI技术の服装制作への应用,composed,admonition,制作|応用|技術|衣装,docs/resources/advanced-resources.md:26
AI支援,AI支援,untranslated,bold,,docs/workflows/avatar-modification.md:62
AI支援デザインツール,AI支援设计工具,composed,bold,ツール|デザイン,docs/resources/advanced-resources.md:28
AI支援フィッティングのオーバーフィット,AI支援适配のオーバーフィット,composed,bold,フィッティング,docs/workflows/avatar-modification.md:535
AI支援機能,AI支援機能,untranslated,bold,,docs/resources/update-log.md:167
AI最適化エンジンのカスタマイズ,AI优化エンジンのカスタマイズ,composed,admonition,最適化,docs/advanced/everywear-integration.md:276
AI最適化パラメーター調整,AI优化パラメーター调整,composed,heading,最適化|調整,docs/advanced/everywear-integration.md:274
AI機能,AI機能,untranslated,bold,,docs/advanced/md2025-features.md:6|docs/basics/ai-features.md:5
AI機能で基礎学習,AI機能で基础学習,composed,bold,基礎,docs/advanced/md2025-features.md:459
AI機能の概要,AI機能の概要,untranslated,heading,,docs/basics/ai-features.md:3
AI機能アクセス,AI機能アクセス,untranslated,bold,,docs/basics/ai-features.md:31
AI機能カスタマイズ,AI機能カスタマイズ,untranslated,heading,,docs/advanced/md2025-features.md:236
AI機能一覧,AI機能一覧,untranslated,bold,,docs/advanced/md2025-features.md:56
AI機能呼び出し,AI機能呼び出し,untranslated,bold,,docs/basics/ai-features.md:70
AI機能関連 ★★,AI機能相关 ★★,composed,heading,関連,docs/basics/terminology.md:37
AI設定の最適化,AI设置の优化,composed,admonition,最適化|設定,docs/advanced/md2025-features.md:238
AR/MR技術との融合,AR/MR技术との融合,composed,bold,技術,docs/resources/advanced-resources.md:383
Action（改善）,Action（改善）,untranslated,bold,,docs/workflows/avatar-modification.md:634
Add Circle,Add Circle,constrained,term_def|bold,Add|Circle,docs/basics/md-interface.md:179|docs/basics/md-interface.md:179
Add Component,Add Component,constrained,bold,Add,docs/unity/fbx-to-vrchat-complete-guide.md:444
Add Component」,Add Component」,constrained,bold,Add,docs/unity/project-setup.md:177
Add Polygon,Add Polygon,constrained,term_def|bold,Add|Polygon,docs/basics/md-interface.md:180|docs/basics/md-interface.md:180
Add Rectangle,Add Rectangle,constrained,term_def|bold,Add|Rectangle,docs/basics/md-interface.md:178|docs/basics/md-interface.md:178
Add Unity Install」,Add Unity Install」,constrained,bold,Add|Unity,docs/setup/unity-vrchat-setup.md:39
Adobe CC,Adobe CC,untranslated,bold,,docs/resources/advanced-resources.md:125
Advanced Mode」,Advanced Mode」,constrained,bold,Advanced|Mode,docs/workflows/avatar-modification.md:265
Advanced Rendering Features,Advanced Rendering Features,constrained,bold,Advanced,docs/unity/fbx-to-vrchat-complete-guide.md:918
Advanced Transform」,Advanced Transform」,constrained,bold,Advanced|Transform,docs/workflows/avatar-modification.md:413
After,After,untranslated,bold,,docs/optimization/very-poor-escape.md:262|docs/optimization/very-poor-escape.md:446|docs/optimization/very-poor-escape.md:457
After (Quest対応),After (Quest适配),composed,bold,Quest|対応,docs/optimization/mobile-compatibility.md:277
After (Quest配慮),After (Quest配慮),constrained,bold,Quest,docs/optimization/mobile-compatibility.md:308
Air Resistance,Air Resistance,untranslated,bold,,docs/physics/fabric-properties.md:53|docs/physics/fabric-properties.md:74
Air Resistanceの調整,Air Resistanceの调整,composed,bold,調整,docs/physics/fabric-properties.md:360
Air Resistance（空気抵抗）の調整,Air Resistance（空气阻力）の调整,composed,bold,空気抵抗|調整,docs/physics/fabric-properties.md:186
Albedo,Albedo,untranslated,bold,,docs/unity/project-setup.md:120
Albedo Color,Albedo Color,constrained,bold,Color,docs/unity/project-setup.md:269
Alembic,Alembic,untranslated,term_def|bold,,docs/basics/md-interface.md:498|docs/basics/md-interface.md:498
Alt + 中ボタンドラッグ,Alt + 中ボタンドラッグ,untranslated,term_def|bold,,docs/basics/md-interface.md:265|docs/basics/md-interface.md:265
Alt + 右ボタンドラッグ,Alt + 右ボタンドラッグ,untranslated,term_def|bold,,docs/basics/md-interface.md:266|docs/basics/md-interface.md:266
Alt + 左ボタン,Alt + 左ボタン,untranslated,term_def|bold,,docs/basics/md-interface.md:278|docs/basics/md-interface.md:278
Alt + 左ボタンドラッグ,Alt + 左ボタンドラッグ,untranslated,term_def|bold,,docs/basics/md-interface.md:264|docs/basics/md-interface.md:264
Android Build Support」,Android Build Support」,constrained,bold,Build|Support,docs/setup/software-check.md:62
Animation,Animation,direct,term_def|bold,Animation,docs/basics/terminology.md:307|docs/basics/terminology.md:307
Animation Clip,Animation Clip,direct,term_def|bold,Animation Clip,docs/basics/terminology.md:143|docs/basics/terminology.md:143
Animation Controllerでの動作テスト,Animation Controllerでの動作テスト,constrained,bold,Animation|Control|Controller,docs/unity/project-setup.md:239
Animation Window活用,Animation Window活用,constrained,bold,Animation|Window|活用,docs/unity/fbx-to-vrchat-complete-guide.md:739
Animation」,Animation」,constrained,bold,Animation,docs/unity/project-setup.md:240
Animation確認,Animation确认,composed,bold,Animation|確認,docs/unity/avatar-upload.md:56
Animator,Animator,direct,term_def|bold,Animator,docs/basics/terminology.md:142|docs/basics/terminology.md:142|docs/unity/avatar-upload.md:58
Animator」,Animator」,constrained,bold,Animator,docs/unity/project-setup.md:240
Apply,Apply,direct,bold,Apply,docs/unity/fbx-to-vrchat-complete-guide.md:434
Apply Template」,Apply Template」,constrained,bold,Apply,docs/workflows/avatar-modification.md:487
Apply」,Apply」,constrained,bold,Apply,docs/setup/md-first-launch.md:73|docs/workflows/garment-fitting.md:110
Arrow,Arrow,untranslated,bold,,docs/basics/md-interface.md:99|docs/basics/md-interface.md:372|docs/basics/md-interface.md:378
Arrow」,Arrow」,untranslated,bold,,docs/setup/md-first-launch.md:145
Asset,Asset,direct,term_def|bold,Asset,docs/basics/terminology.md:128|docs/basics/terminology.md:128
Assets/Avatars/」,Assets/Avatars/」,constrained,bold,Asset|Assets,docs/unity/project-setup.md:85|docs/unity/project-setup.md:144
Assets/Garments/」,Assets/Garments/」,constrained,bold,Asset|Assets|Garment,docs/unity/project-setup.md:98|docs/unity/project-setup.md:149
Assets/Materials/」,Assets/Materials/」,constrained,bold,Asset|Assets|Materials,docs/unity/project-setup.md:117|docs/unity/project-setup.md:267
Assets/Prefabs/」,Assets/Prefabs/」,constrained,bold,Asset|Assets,docs/unity/project-setup.md:303
Assets/Scenes/」,Assets/Scenes/」,constrained,bold,Asset|Assets|Scene,docs/unity/project-setup.md:132
Authentication」,Authentication」,untranslated,bold,,docs/setup/unity-vrchat-setup.md:116
Auto Avatar Analysis,Auto Avatar Analysis,constrained,bold,Auto,docs/advanced/ik-joint-mapping.md:115
Auto Create Fitting Suit」,Auto Create Fitting Suit」,constrained,bold,Auto|Create,docs/workflows/avatar-modification.md:161|docs/workflows/avatar-modification.md:265
Auto Fitting前の重要な設定,Auto Fitting前の重要な设置,composed,admonition,Auto|設定,docs/workflows/avatar-modification.md:219
Auto Fit結果が不満足」,Auto Fit結果が不満足」,constrained,admonition,Auto,docs/workflows/avatar-modification.md:578
Auto Reference Line」,Auto Reference Line」,constrained,bold,Auto,docs/workflows/avatar-modification.md:175
Auto Refresh」,Auto Refresh」,constrained,bold,Auto,docs/setup/unity-vrchat-setup.md:101
Auto Rigging」,Auto Rigging」,constrained,bold,Auto,docs/workflows/avatar-modification.md:334
Auto Save Interval」,Auto Save Interval」,constrained,bold,Auto|Save,docs/setup/md-first-launch.md:62
Auto Save」,Auto Save」,constrained,bold,Auto|Save,docs/setup/md-first-launch.md:61
Auto Saveの有効化,Auto Saveの有効化,constrained,bold,Auto|Save,docs/setup/unity-vrchat-setup.md:99
Auto-Fitボタンを押しても反応がない」,Auto-Fitボタンを押しても反応がない」,constrained,admonition,Auto,docs/advanced/md2025-features.md:349
Auto-fitting Algorithms,Auto-fitting Algorithms,constrained,bold,Auto,docs/resources/advanced-resources.md:32
Automatic Fitting Suit Creationが動作しない」,Automatic Fitting Suit Creationが動作しない」,constrained,admonition,Auto,docs/workflows/avatar-modification.md:545
Automatic Fitting Suit Creationとは,Automatic Fitting Suit Creationとは,constrained,bold,Auto,docs/workflows/avatar-modification.md:253
Avatar,Avatar,untranslated,term_def|bold,,docs/basics/md-interface.md:76|docs/basics/md-interface.md:76
Avatar Collision,Avatar Collision,constrained,bold,Collision,docs/garments/swimwear.md:544
Avatar Configuration,Avatar Configuration,untranslated,bold,,docs/unity/fbx-to-vrchat-complete-guide.md:374
Avatar Definition詳細,Avatar Definition詳細,untranslated,bold,,docs/unity/fbx-to-vrchat-complete-guide.md:371
Avatar Descriptorの設定,Avatar Descriptorの设置,composed,heading,設定,docs/unity/project-setup.md:171
Avatar Descriptorの高度設定,Avatar Descriptorの高级设置,composed,heading,設定|高度,docs/unity/fbx-to-vrchat-complete-guide.md:531
Avatar Descriptorコンポーネントの追加,Avatar Descriptor组件の追加,composed,bold,コンポーネント,docs/unity/project-setup.md:175
Avatar Display設定の確認,Avatar Display设置の确认,composed,bold,Display|確認|設定,docs/unity/avatar-upload.md:373
Avatar Dynamics,Avatar Dynamics,untranslated,term_def|bold,,docs/basics/terminology.md:407|docs/basics/terminology.md:407
Avatar Dynamics Robot Avatar」,Avatar Dynamics Robot Avatar」,untranslated,bold,,docs/setup/unity-vrchat-setup.md:140
Avatar Name,Avatar Name,untranslated,bold,,docs/unity/avatar-upload.md:125
Avatar Opacity,Avatar Opacity,untranslated,bold,,docs/workflows/avatar-import.md:97
Avatar Optimizer (AAO) - 非破壊最適化の救世主,Avatar Optimizer (AAO) - 非破壊优化の救世主,composed,heading,最適化,docs/optimization/very-poor-escape.md:44
